Date ,OPEN ,HIGH ,LOW ,close ,VOLUME 
26/07/2024,1825.35,1883,1825.35,1878.9,11369047
29/07/2024,1893.6,1903,1864,1871.1,4635931
30/07/2024,1871.1,1879.95,1860,1877.15,2721265
31/07/2024,1877,1885.15,1865.05,1868.25,5004209
01/08/2024,1856.1,1867.9,1845.1,1852.6,7475014
02/08/2024,1843,1859.5,1816.15,1821.2,7400938
05/08/2024,1784.95,1797.5,1718.55,1751.9,10736703
06/08/2024,1760.2,1796.95,1744.85,1751.1,7690163
07/08/2024,1796,1797.9,1762.1,1791.65,5094329
08/08/2024,1779.95,1779.95,1727.1,1743.15,6227910
09/08/2024,1771.25,1780.75,1756,1770.75,4258524
12/08/2024,1773.05,1803.5,1768.1,1797.4,4315329
13/08/2024,1810,1810,1789.05,1797.45,4176918
14/08/2024,1802,1825,1797.45,1823.25,7450718
16/08/2024,1850,1861.85,1829.5,1858.95,7335657
19/08/2024,1860,1867.55,1849.2,1864.8,2585989
20/08/2024,1880,1885.7,1868.2,1872.2,3870333
21/08/2024,1875.1,1879,1867.1,1872.7,1966902
22/08/2024,1884,1893.65,1869.7,1880.25,4300287
23/08/2024,1878.2,1882.6,1857,1862.1,5015935
26/08/2024,1870,1888.75,1864,1876.15,3728589
27/08/2024,1876.15,1902.75,1873.9,1900.1,3830679
28/08/2024,1906.9,1951,1897.4,1939.1,6514531
29/08/2024,1933,1950.5,1920.9,1933.35,7228284
30/08/2024,1938,1950,1928,1943.7,13466759
02/09/2024,1943.35,1975.75,1942.8,1964.5,5573739
03/09/2024,1967,1967,1936.45,1941.25,4694322
04/09/2024,1921.1,1927.2,1900.05,1922.45,4778310
05/09/2024,1926.25,1940,1909.6,1933.15,4081810
06/09/2024,1922,1936.5,1896.85,1901.85,5848106
09/09/2024,1890,1920.85,1889,1894.65,4772612
10/09/2024,1904.9,1935,1896,1912.3,6909600
11/09/2024,1914.7,1926,1905,1910.15,5312946
12/09/2024,1925,1956.4,1910.8,1950.45,8555092
13/09/2024,1950.45,1958.6,1935.65,1944.1,3843127
16/09/2024,1945.75,1952,1933.05,1950.25,1570181
17/09/2024,1947.75,1958.45,1942.15,1952.55,2793127
18/09/2024,1938.75,1938.75,1881.3,1892.15,6385468
19/09/2024,1910.6,1924.9,1878.8,1894.2,7976570
20/09/2024,1905,1915,1867.4,1905.75,15242974
23/09/2024,1909,1918.9,1878.45,1896.45,3636672
24/09/2024,1888,1910.9,1871.4,1898.6,7277616
25/09/2024,1886.35,1901.6,1876.8,1895.3,4268341
26/09/2024,1897.8,1917.95,1893,1900.25,8952803
27/09/2024,1932.1,1974.6,1903.3,1906.75,14908931
30/09/2024,1880,1901.25,1870.5,1875.6,6986955
01/10/2024,1875,1908.95,1875,1904.35,4029072
03/10/2024,1889.5,1911.85,1881,1893.4,7503887
04/10/2024,1889.55,1954.1,1886,1918.15,10001483
07/10/2024,1923.2,1942,1916.05,1934.3,6112575
08/10/2024,1937.9,1957.95,1906.35,1948.55,5637391
09/10/2024,1952.55,1977,1945.1,1952.75,4857163
10/10/2024,1957.9,1964,1914.1,1919,4782119
11/10/2024,1918,1947,1910.1,1935.1,4709431
14/10/2024,1932.15,1969.5,1931.1,1958.9,3751378
